GaitCyclePercent,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot Angle,L_Foot Angle,R_Shank Angle,L_Shank Angle,R_Thigh Angle,L_Thigh Angle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1911829281309812,0.31039402190839094,-1.3281900593655702,0.810108777508696,-5.785964021400188,-3.55539814950976,-2.469408999722165,-0.9257771928673215,3.385303238586475,1.7478365222129897,-1.0653934969714085,0.7058958677840572,23.43583877152028,23.878846499488102,25.70255908555074,24.391813696266738,26.209270955351453,24.853987372350772
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0689956724241136,1.3867161633029867,-1.3874510648548577,0.789873386653989,-5.527565087775431,-3.2605957617872474,-2.7857658038498063,-1.0068927648255566,2.4431707933695033,0.7962774502587404,-0.9626771911345223,1.0034295034549792,22.062236576072344,22.593353704939002,24.609598197897032,23.193377008952613,26.02782072166292,24.76857535132534
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8871328451704503,2.363412457159855,-1.4437971025965577,0.7871377931375165,-5.091630703393511,-2.8681753028375896,-3.40646517126335,-1.4084829701712533,1.279068220504613,-0.4596467991695889,-0.8349664891337393,1.3485587069741423,20.316584901407065,20.937475974988622,23.48020510993747,21.970178655434875,25.73213099503897,24.539014967963546
3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33698288729638,2.866921688071413,-1.4731252127207075,0.7842368461206309,-4.55105164844736,-2.42458946895847,-4.660741956131849,-2.529484344761737,0.27034279436249126,-1.6606028662044314,-0.8227621294764809,1.6218863432672619,18.11294297913201,18.818079382989364,22.589092676971863,21.06905146837698,25.290066256186453,24.099502135266903
4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522226403329313,3.0401041303985,-1.4138252752426783,0.7982097553475321,-3.738655025824611,-1.7371296661348274,-6.447148501758621,-4.344493374035213,-0.40830602935845134,-2.480337071460765,-1.254580335999721,1.4093288593389284,15.539498870738688,16.174009849261513,21.89207382325451,20.376088946517896,24.768234972572227,23.49083069870194
5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8790682954349447,3.4347749238916236,-1.1896325310787947,1.0025287435732468,-2.6807173224530643,-0.7242094002294408,-8.130487326307648,-6.144536265146803,-0.6782792663264284,-2.888762661338824,-2.2987649894102664,0.4032024900296005,12.994750722982234,13.440631610344035,21.11142715859852,19.556021517918687,24.329374664218363,22.974448832572044
6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7003155419503804,4.332059600373722,-0.8531079876626729,1.4198310808522352,-1.6594212966695812,0.4107867167892794,-9.18626455496532,-7.366396956394828,-0.7571927915514357,-3.1158620069501626,-3.679135888210222,-1.116776780488238,10.82322250675321,11.091177410946136,20.108967568076487,18.516810655088467,24.084299676392657,22.730390961244215
7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.904134264011701,5.582504864667565,-0.5220296876208269,1.7950526085289686,-0.935893451429879,1.4811135097114692,-9.691061438347473,-8.081990837401635,-0.7621143115840506,-3.2425704984044326,-4.942285200405595,-2.6113418570523033,9.040129145112772,9.080381818261158,18.923709871896396,17.28843485658697,24.020086413281543,22.658881461108226
8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.226334229674268,6.946710573463255,-0.20766977662686634,2.014834042720224,-0.2878452978734805,2.3696395367013388,-9.821928780195433,-8.408171355764894,-0.7398197311986061,-3.2882649920962304,-6.016977533055554,-3.765762870489517,7.586725831080324,7.379296048904771,17.647444882988715,15.94759926536611,23.974393317934663,22.617989719392696
9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.402158659814257,8.21662525940486,0.11328456565898841,2.1394485339568177,0.4107845027920679,3.1401516266447227,-9.698754360126571,-8.441556094463056,-0.7402540798939166,-3.3380679993003426,-6.95254731193033,-4.558804611476035,6.385173832211798,6.000586577868561,16.356126215504414,14.60630025878575,23.77395821529186,22.497216368300247
10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.256936130504725,9.243672715643468,0.4221097818405866,2.1793191990870073,1.074499475617316,3.813773300529478,-9.489623086584816,-8.275588921342765,-0.8784133830968744,-3.5081282845710913,-7.66558914982308,-5.048850402507092,5.36896727092085,4.901139079228435,15.145517537214403,13.338286929159777,23.34706837848552,22.19388016794983
11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.831637442442007,9.98464914259645,0.6491478792932132,2.1620728756356424,1.7365747161807192,4.446839540284248,-9.201344544069485,-7.945995942957131,-1.2205868257935746,-3.8410668482017276,-8.120807975910635,-5.3225499389729025,4.536153050540321,4.061770996435495,14.010220785378637,12.166110150703458,22.736993242061253,21.66319112749093
12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.240935016798007,10.499100134155178,0.7578579696131011,2.129913106306565,2.412876980506461,5.187016156775231,-8.808157640286726,-7.464935778089984,-1.736752316005287,-4.318976675643051,-8.314506091531113,-5.4377450771650695,3.872558118673323,3.4717965463488714,12.925889025092797,11.058687934173172,22.01683227458727,20.94889799567718
13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51326930843346,10.82910023852308,0.7528159053136473,2.0777786204008897,2.9718921796293074,5.989590714663981,-8.313962518426491,-6.893486472115014,-2.3356874194324853,-4.866156992920588,-8.249569587990873,-5.371050874047149,3.3655284219338717,3.0364677154834188,11.875599445778777,10.0059429752461,21.185256881865303,20.097860913654067
14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.604805223565554,10.970448127998678,0.7116396673127391,2.025281893414455,3.290210222186989,6.580006035277938,-7.7587887045751875,-6.309773718156898,-2.8951702550106537,-5.3931780948421295,-7.946463819961972,-5.064445674289534,2.9754750306722277,2.6883141570494105,10.87571493004732,9.032627579035529,20.231586790355077,19.155750053150868
15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57040567230804,10.967927309049223,0.6829725179012264,2.0086452033474655,3.3215175221908235,6.731848934620567,-7.169451278018264,-5.726827027321845,-3.348560942594502,-5.843707196595262,-7.511901771412828,-4.552566511317185,2.675746312792204,2.3983731671389945,9.943972110372618,8.135463731543997,19.249647248719334,18.20674103585423
16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.470630897339012,10.90557250554243,0.7136158990424045,2.034603045568006,3.177279829134863,6.563304682230049,-6.54780948874542,-5.129295324214396,-3.6945699156696894,-6.20685740730898,-7.076173960950834,-3.9778825557593294,2.453270388445904,2.1577450345103557,9.078205078602291,7.277428391188429,18.280115543678694,17.287641444468907
17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33851087951046,10.796192343995202,0.8279971767009954,2.0969432783281508,2.9725005869331866,6.280439547155356,-5.895967707639211,-4.517959157794542,-3.972310698138071,-6.484878685917199,-6.681931042265542,-3.443679333935116,2.27381962325463,1.9591478346875493,8.227350905445979,6.455944303296479,17.2925190638322,16.371826014004736
18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.173979461738284,10.651623016701457,0.9815312124405006,2.1828743182426353,2.759024003455387,5.982631843301379,-5.2503746962633775,-3.9139052259786116,-4.1717156346903,-6.679831302379982,-6.299334615275447,-3.000994839144296,2.1082380664983114,1.7914595661763568,7.393814321614926,5.671145904672155,16.313117070153087,15.469611348903642
19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959478446081269,10.468889267640222,1.1029843026001833,2.262299819240734,2.5885830949543305,5.765706864184313,-4.642929395868273,-3.349055373253277,-4.279715247881865,-6.793082518021381,-5.935797377881194,-2.6833901435053877,1.9528181655597245,1.6362597869665478,6.61577846278246,4.940953413272007,15.332369867183031,14.581499397887397
20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699972062434943,10.227704488993659,1.160481851567177,2.314365570028427,2.495477633642276,5.684607034862815,-4.071389445740839,-2.832948419199329,-4.321381320858867,-6.843620146473606,-5.613360291715532,-2.4690106876084004,1.807687041988083,1.4827950769882776,5.888364735956757,4.26146804584797,14.350077232026807,13.677354070291848
21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39859991753129,9.925608134202015,1.1705269592055638,2.3459041535590397,2.4716328629919024,5.712237203384064,-3.5323046488329632,-2.3526642017686195,-4.333047199313863,-6.86340997805086,-5.331276521278774,-2.3036486008035832,1.6732605308601385,1.3338885506270886,5.2097608331245135,3.623701860000978,13.365634557022672,12.742789443339019
22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.067432155082786,9.583321131230484,1.158281312226896,2.366236614717183,2.4900031106740417,5.779459671326856,-3.010127119489458,-1.886438563859693,-4.334968775362078,-6.872719526285576,-5.079621106112268,-2.1395957024985726,1.5460294222439743,1.1912395808102816,4.557247697991094,3.005220275658262,12.377259778862868,11.78693538450831
23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7102979866117165,9.219260279262505,1.1359986216094815,2.383188647605109,2.518075622735272,5.8162376688515645,-2.5004579457973146,-1.4219980723073375,-4.333526710550936,-6.877335409380143,-4.832912776575671,-1.944700483080421,1.4225362879303385,1.0568275865410703,3.9241196484108234,2.4005791137806756,11.386714919061813,10.824561933225581
24.0,0.0,0.0,0.0,0.0,0.0,0.0,7.336007841276246,8.8397074832657,1.1082293149744231,2.3962208642432845,2.530417206453623,5.7812146717736805,-1.9986572963595963,-0.9585320192018542,-4.33427787328238,-6.877541241422619,-4.585774529258512,-1.7004616008605011,1.3049154432344021,0.9303699060904962,3.303289618682856,1.80503274640366,10.392941420572953,9.861885452599948
