GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,6.04969818283005,6.13201930583284,2.28491746450208,1.90007521806123,3.19116669114279,3.93151323800617,7.45163667327564,7.67526890430791,3.62463967718105,3.27402723834093,5.33144417461254,5.84759983914257,4.05117510252761,4.15942374919055,3.34856842891621,2.93554654501119,9.08425984361708,9.06925575230585,2.92459281598686,3.18917042056809,4.42609799746634,4.45451311455979,6.26860548805092,5.07717803522501,3.38845037506841,3.47235430713175,3.87431607416866,4.06305495004102,5.55683369224878,5.05450714077633
1,6.03704116340527,6.10953777236745,2.31355221349538,1.93850575389399,3.21099728216442,3.93711667283493,7.39281631411881,7.63174092801965,3.53810727204818,3.19145964075628,5.26758734472914,5.7964677279432,3.87459511652361,3.94956396664548,3.30922561679563,2.92094984685275,8.95794683887881,9.11976331042799,2.9942069203429,3.12475732988229,4.39570966167307,4.49742908586112,6.28113092076171,5.2400014111766,3.37445926992527,3.38542564705965,3.8258513645363,4.06570470834369,5.34967017059943,5.05751617141122
2,6.02563134945807,6.08350084612662,2.3437010521992,1.98824211800758,3.20544475909672,3.91521781369672,7.32542856226838,7.57855292253646,3.43254618212329,3.10026621836696,5.19185592520706,5.76378863233135,3.77702898106638,3.82792444582693,3.27037839054459,2.91728229371112,8.84080286871357,9.23186029441437,3.11983384700709,3.02996385245605,4.32065500131994,4.52911577809693,6.2661976069895,5.34514037515626,3.39677200556948,3.29916509640347,3.73088568550756,4.05239455847524,5.19443704034155,5.05199724934665
3,6.02122664932005,6.05788415410646,2.37422592500485,2.04492801520018,3.17824323066444,3.87129854622769,7.26468582858023,7.5269152800752,3.32321585009138,3.01455285409479,5.10590036905883,5.73464604940159,3.7756467495436,3.81190907957177,3.24811189066679,2.92604271144843,8.77110119454586,9.40225680498467,3.27362163866354,2.93263604923744,4.20511114802273,4.57126195542609,6.25717382647307,5.39295209639776,3.40844041464696,3.18550731956175,3.59742840378311,4.05870929027345,5.09898274749823,5.026650168615
4,6.0307182251142,6.03853030372031,2.40222626721267,2.10264380286818,3.13415616621995,3.81277515404922,7.23487329194551,7.49749683100112,3.22267965209325,2.94719101204397,5.01472541628027,5.7010780117213,3.88845603436937,3.91049182408617,3.2462429798666,2.93935248004059,8.78167198335639,9.62460521766673,3.39298693076728,2.86990607911001,4.09415805037059,4.60499386313598,6.27620169595217,5.40946494127918,3.35570876938986,3.00602357075474,3.46897319711511,4.10034583317366,5.07706100721747,4.98431018671175
5,6.05933453425416,6.03102496743509,2.42538204294119,2.15729905495542,3.07759063095956,3.74640607814904,7.25894175636513,7.51184733030738,3.13867589502029,2.90612814137756,4.93073442758141,5.67087538646802,4.11563158414326,4.11845854006467,3.25812103228137,2.95507759633941,8.86447885488936,9.86432961209549,3.43040411462415,2.83837504870098,4.03185217937779,4.52555806110332,6.29347677488482,5.41503472445671,3.21624183359223,2.75058447157802,3.38850604599163,4.0816490363683,5.11277411304225,4.9281325662404
6,6.10706345748655,6.03810541793618,2.4447537963547,2.20886252396478,3.01149264753378,3.67581961474313,7.34288981130726,7.57935775651708,3.0747203792749,2.89298954057432,4.86942432184731,5.66104376357513,4.40785227642174,4.39933091430019,3.27786788859642,2.99112212805171,8.96089425552904,10.0402179129548,3.37176219568041,2.78919327327632,4.01775036841223,4.27712797224066,6.25079117138378,5.39777152807229,2.99148445979481,2.4512174215532,3.36166685522531,3.89857098661048,5.15321688516744,4.86517563584713
7,6.16828953027028,6.05912089519771,2.46476965431501,2.26159576227556,2.93755525988388,3.60115773117924,7.46904565615219,7.69051822296039,3.03308951889458,2.90491694511854,4.84074430112231,5.67815660622541,4.67597511728162,4.69093689187923,3.30649907795447,3.07311423095455,8.99181212850717,10.0536201528481,3.23419285042056,2.68758872083705,4.02508850042113,3.93907327572421,6.12350120464288,5.32032678338076,2.6933298265468,2.14000052933573,3.36858384847203,3.57931757880837,5.15497689616994,4.80313989761028
8,6.23505774992777,6.090130419454,2.49065493009252,2.31929170888616,2.85769600227312,3.52026424249671,7.60691233053774,7.82304772708501,3.01787618698659,2.93625048164998,4.84622384497369,5.70909606657377,4.84372268465072,4.93632818944782,3.34871514589753,3.20630115022627,8.91479239428017,9.85962637308018,3.05732614653393,2.55055795703957,4.0137874382378,3.62952589312624,5.95187631804657,5.18505896664784,2.35008588698078,1.83452286299426,3.35591535666041,3.22730363524014,5.11890537834164,4.7402259341771
9,6.30054918981788,6.12664351200892,2.52612343338014,2.38526792050382,2.77519673674544,3.43209227619899,7.73071707043917,7.95518611416276,3.0344615846867,2.98238835124325,4.88136693785211,5.73452095486436,4.88831511630452,5.11076737381664,3.40559230989428,3.36757335142401,8.76163462180461,9.51482785066974,2.88367872607303,2.426282099694,3.95174767463975,3.40947700459832,5.82626745986585,5.087791542124,2.00275526804083,1.55600690883072,3.27072539686094,2.91275711245639,5.07170418848039,4.67899654983667
10,6.3604649055979,6.16504837638264,2.57212451006519,2.46139810531544,2.69505937008482,3.33832509512246,7.82776490684413,8.07366401842816,3.08663853076024,3.04221950594788,4.93357310016812,5.74471379525763,4.84253895332836,5.22749393482533,3.4692786134065,3.52488755382371,8.60619257388674,9.14459245269531,2.74486739292203,2.35428199539693,3.83372796503251,3.2745519946062,5.82285313384376,5.13964319529307,1.6878230283673,1.32787946458561,3.10305651003711,2.65175443367709,5.03310220994668,4.63147953133933
11,6.41295566612317,6.20212146924281,2.62593403846405,2.54437533386551,2.62380137854452,3.24327708144467,7.89472196731941,8.17198129306819,3.17318103522982,3.11536805497469,4.98047307464722,5.73998629315334,4.76376656295635,5.32001831620136,3.52438004647472,3.65636607180682,8.4910753316789,8.84968751986129,2.65263607756147,2.3436402036051,3.67893829023212,3.19263921956727,5.93194187555109,5.32709253286708,1.42744129317266,1.16036623091423,2.88020487623353,2.43748986687524,5.00912443194098,4.60505593777267
12,6.45749557276737,6.2351306391329,2.68081961834914,2.62530524592306,2.56824894054398,3.15345431669817,7.93124922373519,8.24627189824831,3.28484061530214,3.19795711461267,4.99801856167364,5.72269753026676,4.69832151979862,5.41824467115664,3.55540456764986,3.75415458511898,8.40187905307494,8.65114774202866,2.60209991010556,2.37760055678078,3.51990474417071,3.13937349648061,6.06837580648903,5.51608715749748,1.22913405771157,1.04725930929257,2.64374194866593,2.26256990740624,4.99858408937239,4.59628214049017
13,6.4934089938557,6.261577314112,2.72712635530492,2.69117348920728,2.5329196503901,3.07562563262341,7.93896293903544,8.29485761252578,3.40505144657567,3.28010296516662,4.97323291224717,5.69349601880555,4.67015931857763,5.53571255268911,3.55463688647874,3.82051298887706,8.30450051392672,8.52299614004335,2.58368018709952,2.43264374943781,3.38545355571633,3.10520276500338,6.14671089294784,5.57995728047564,1.08900657585299,0.974431126585356,2.4294159625558,2.12149470375261,4.99681988579287,4.59754093689024
14,6.51898266225533,6.28010521872708,2.75450346356079,2.73011777663847,2.51774318507346,3.01468667727009,7.9243570979344,8.32084775021452,3.51478460508527,3.34950605738602,4.91190874799377,5.6547832758359,4.6900356561078,5.67107157913622,3.52543263695638,3.86207316738416,8.18887391104628,8.44870245242677,2.58917197665069,2.49178960759823,3.28779239832549,3.08718188498511,6.13269769376907,5.48444883916941,0.995843494643041,0.928177700915824,2.25471548019516,2.00834953688115,4.99928353675577,4.60311997453248
15,6.53187634066121,6.2899833727711,2.75452993644245,2.73449700798984,2.51814828924357,2.97242614144302,7.89938104214501,8.33218457117932,3.59719859608045,3.39446806423955,4.83688491822561,5.61591384689513,4.76096166562182,5.81480179918892,3.47908059445366,3.88457172807701,8.08064433672297,8.43481793095743,2.61080031289631,2.54563201086961,3.22400347057639,3.08271316461006,6.04615194363581,5.28293988644818,0.935824992831927,0.89873485347547,2.12046446642743,1.9176868846539,5.003754893619,4.60966937909657
16,6.53055078725228,6.2882922372364,2.72304817625263,2.69835984661337,2.52717914543006,2.94644133826551,7.87660292580305,8.33792259416892,3.64023038645159,3.40052885056001,4.77802866664177,5.5905689142127,4.87376799233159,5.95411706161879,3.428086700986,3.89010372684686,8.0185376371149,8.48626892419326,2.63995591577388,2.58904473030477,3.18437686059047,3.08713983200194,5.93108027391531,5.06124525769417,0.896387873629983,0.879973169709762,2.0198884199663,1.84519225872916,5.00897011050392,4.61534456705834
17,6.51527846559438,6.27772792422564,2.66127231905575,2.62969614263877,2.53789027737413,2.93265923306415,7.86272926020978,8.3442017272859,3.63807990185516,3.36448854389721,4.75735774973105,5.58464136392287,5.00560635221869,6.07700316179341,3.3813397115802,3.87697965367728,8.02118050551035,8.5878367049,2.66838544572652,2.61974780371052,3.15867637555507,3.0947019048594,5.82259523825114,4.883674088467,0.86838156827692,0.868171216847631,1.94524436196099,1.78730562336403,5.01334871861304,4.61936570883687
18,6.48843399640565,6.26014741998553,2.57459169920718,2.53882266018457,2.54522299601679,2.92550833906911,7.8554412305375,8.35071920128575,3.59146407189351,3.28516731019446,4.77683356050992,5.59396867216572,5.12897113089123,6.17486910350494,3.34291240528247,3.84458092919254,8.072955683586,8.70152689965706,2.69008966296908,2.63803504800107,3.13921884555015,3.1006039373253,5.73460093926077,4.77159760412234,0.846265228133786,0.86128726432131,1.89006562114916,1.74128185303053,5.01553870832059,4.62152955904444
19,6.45388347128634,6.23786177134217,2.47021343881335,2.4388623324087,2.54722610230226,2.92092228635162,7.84607931302713,8.35182771424284,3.50780641977187,3.16821849971347,4.81984403622202,5.60913285843162,5.22298305913711,6.24397030845406,3.31293615042813,3.79657887268425,8.13746765586546,8.78313747518166,2.70241191789614,2.64608878453847,3.12195880852945,3.10151146384921,5.66607473019018,4.71362195652314,0.827019922030257,0.858359080463436,1.84937677085028,1.70488407933565,5.0150470597817,4.62186813773744
20,6.41568782815237,6.21238162482453,2.35551666352988,2.34201704823899,2.54515034654529,2.91628088940459,7.82143446739437,8.34039119814972,3.39172410710557,3.02287570495868,4.8636020376191,5.62131742947236,5.2831092716754,6.28528001276754,3.28925613131322,3.73982239366626,8.18283607532363,8.79958201870101,2.70559572395358,2.64696354397996,3.10654032768521,3.09521426223174,5.61170847109599,4.68779600788903,0.809100662399769,0.85895237600554,1.81974774413745,1.67585912006307,5.01172516701545,4.62075849334227
21,6.37684738747588,6.18523009352237,2.23786336840867,2.25837430061491,2.54223648662072,2.91135421824999,7.77630446501394,8.31159869972536,3.25741068097556,2.86309725500177,4.89322958149797,5.62393307951588,5.29024571665306,6.30332651738681,3.27178980317614,3.68152814877579,8.1935605416703,8.73984182640724,2.70156664174316,2.64374469916994,3.09474630665684,3.08083714300799,5.56763334874308,4.67688505148522,0.791972208072544,0.862906265617159,1.79880013591499,1.65213508244494,5.0055778922041,4.61919913955885
22,6.338917148537,6.15776045768204,2.12420311304324,2.19353389861502,2.54189498256472,2.90713834616802,7.70742176791713,8.26475035739728,3.11276260246591,2.70442241016439,4.90614762475674,5.61305681450626,5.27623954659044,6.30450523703628,3.26016389934164,3.62671253183072,8.17549995676472,8.61566010833646,2.69293615734439,2.63894334830668,3.087552941505,3.05900027155002,5.53087290912519,4.67107714697204,0.776062130539287,0.870345258123408,1.78425377466998,1.63217879343221,4.99722258555762,4.61884479014608
