GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,5.99680782714093,6.08861884675027,2.18983087239968,1.67135268913238,2.14667836229197,2.80056480924544,7.80759518954967,7.74983507770457,3.33358895608919,2.6342826616229,5.08358877005179,5.69978463039234,5.89344885405733,6.42843628925673,3.26252841367444,2.99911161910754,8.84064215602995,8.49611736905388,3.61740392828367,3.3766758072483,4.37883911362299,4.04991675884061,5.76048041103418,5.45009895106413,3.2164430656427,3.53264769760399,3.90895695732808,3.60552266443503,6.11030036339665,5.84095273803537
1,6.00595131091738,6.08413803041615,2.19031624443882,1.6631496946339,2.17310318540741,2.77665883076048,7.83125908983699,7.76613372246581,3.29656532110098,2.59113612397739,5.08411433533788,5.73067128829849,5.84890425872567,6.3722001955317,3.2404208237624,2.97994037494349,8.71696802100565,8.48647931409937,3.65599071752479,3.37339387586167,4.21308565714799,4.02186636627264,5.719509429263,5.28386593801482,3.10097560666333,3.43583285476238,3.73816735157334,3.4917088510032,5.88052636871482,5.77234906506927
2,6.02346499198477,6.07959252329011,2.19255826735069,1.65714241374613,2.20097802655699,2.75265791663031,7.90314245080401,7.81256680588988,3.2598179475534,2.56780881932516,5.07830466661075,5.72051424595138,6.00429296441263,6.53307672356229,3.23122558530132,2.96744542967855,8.55163112310276,8.44862936928267,3.81816360497658,3.55993392762389,3.96112590363697,3.97317330336397,5.63363149808712,5.12899287024277,2.8561676492309,3.21572837963773,3.48367539062433,3.45874626443473,5.7020447531287,5.74528521121625
3,6.05376228857727,6.08164192061888,2.1966217283333,1.6582770588393,2.21823365080555,2.72559996036322,8.03718459151123,7.91180870559003,3.22851058770281,2.57108978499364,5.07195462705247,5.68659405321248,6.35697084069208,6.91718177858476,3.22670169419902,2.95659379097573,8.36050322193295,8.43950021207078,4.03160886427773,3.84993133692346,3.73010476091527,3.82625537187928,5.55608992269336,5.03348204024545,2.51199227072268,2.84637655784642,3.21569428997467,3.38991843520969,5.61435315506834,5.74364675227092
4,6.09437245023146,6.09354414086645,2.20273136597951,1.67358932725035,2.21613302402855,2.6918517501482,8.21358124104146,8.05943422052386,3.20609526914704,2.59962838119144,5.07616340263703,5.6717191171109,6.77369379698258,7.39880868721662,3.21736268343672,2.95476035299188,8.1765199789493,8.45739042485856,4.19509769061032,4.11110663188963,3.59140283889215,3.57359845770263,5.53244006354423,5.00599764968517,2.19346030663013,2.38632052337056,2.98980085304169,3.17208989947193,5.58740180272344,5.71737115498566
5,6.13818120714201,6.11162289370914,2.21492718023667,1.70406455676448,2.19549076179347,2.6524454368329,8.39557883709607,8.22777481929867,3.19824733067931,2.64679582830407,5.09409767565083,5.69932687997527,7.14019300042125,7.86294376611,3.20885630699843,2.97114548270171,8.04101374962079,8.42522377454719,4.27183236712711,4.31061224653665,3.55281959252683,3.35400976400489,5.52032694930081,5.02066270277008,1.94335607926309,1.91682536821949,2.86331142009195,2.88068514136993,5.54112479356709,5.62629596225312
6,6.17921887978158,6.129805722757,2.2360702901987,1.74402633296255,2.16453589541853,2.61226244251308,8.55743564734763,8.3900287549874,3.20579828071151,2.7012788495512,5.11775422918225,5.75295161571826,7.41193590340385,8.24608607227051,3.20317832335318,3.00258565346493,7.97426304412718,8.2969684904345,4.26010616908719,4.44583340001815,3.53214972927529,3.25926905639354,5.4176403153893,5.05014269755976,1.7114037300133,1.51193467808361,2.7861466720042,2.63961953968292,5.46541909666674,5.5025427268912
7,6.21406558796156,6.14522135214837,2.26221557919006,1.78670183270044,2.13526777347892,2.57640107862888,8.68676124320384,8.52988791931262,3.22247164544316,2.7491824168554,5.13573720360981,5.80452551539257,7.58914030713822,8.52198677850757,3.19637642704143,3.03768843566985,7.98531169769597,8.12664030202606,4.19634204562051,4.51433064827523,3.46468002859854,3.22290271548247,5.24519321574896,5.10326971712037,1.50314610264116,1.22919726355552,2.67779143532165,2.46213479331779,5.40495171576468,5.41087615121835
8,6.24131847950607,6.15831595893332,2.28520016055213,1.82895305547187,2.12091687763385,2.5495179404443,8.77890559275881,8.63609468814641,3.24099073994391,2.78232663984388,5.14117930800028,5.84431651259975,7.6992209004397,8.70088964796836,3.18661558750301,3.06576363396815,8.08592642672709,8.01417777664166,4.12446443161359,4.53101140851056,3.37543592025451,3.1826960195886,5.13925082202886,5.18140770947743,1.35760668076971,1.07917745180976,2.54452622277443,2.32655073750658,5.37749894692972,5.37713517944101
