GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,12.22323945,11.951874,0.69604532,1.120317025,5.7303935,5.51191805,34.4188775,33.56418,-2.716202425,-2.3306134,-2.66322431925,-3.801425675,3.23775145,2.31767565,1.4261733925,1.8515693925,-22.04064,-20.89634825,3.12350185,3.6500876575,7.04106835,4.86978035,8.556735,10.720574525,24.4771925,24.59804,6.7323809,4.958597375,11.288981145,9.02515275
1,12.118706875,11.826735,0.8758477,1.3079607775,5.973637115,5.725113275,34.2636575,33.40363,-2.53614175,-2.13467665,-2.5273564325,-3.690960925,4.138043325,3.26228875,1.548958085,1.951936275,-22.33246575,-21.0634685,2.70211287,3.2695873125,7.1037369,4.926300175,8.624065575,10.69938175,23.092635,23.209305,7.158795575,5.3599473625,11.080174765,8.830742275
2,12.005760975,11.6990965,1.09554185,1.53130795,6.14327005,5.868948425,34.066975,33.2065925,-2.259201925,-1.853878625,-2.33588305,-3.5401819,5.299876435,4.4706598,1.68384355,2.06314170525,-22.6687985,-21.26238725,1.7240659215,2.34522375,7.02200655,4.84456765,8.736710875,10.71142975,20.822225,20.9443475,7.62168005,5.7992575975,10.833395935,8.6142395
3,11.894670875,11.5789495,1.3642247525,1.79869315,6.2264935,5.93102835,33.842035,32.9826125,-1.892842835,-1.4933085075,-2.0742837525,-3.321212825,6.5909176,5.8057999,1.8260024,2.183149735,-23.0107145,-21.49725375,0.1995733,0.8611038,6.7677986,4.600546,8.841980175,10.734925,17.7993325,17.92072675,8.067299075,6.2339248785,10.539408075,8.3664221
4,11.794008675,11.4730195,1.68751065,2.116425775,6.209478475,5.898024775,33.6300975,32.76948,-1.451702,-1.063760075,-1.733417125,-3.015522385,7.97151685,7.22305297625,1.987325585,2.322744295,-23.25034525,-21.688288425,-1.55205925875,-0.893116925,6.3088647,4.173912685,8.846411225,10.70139445,14.380308,14.4849405,8.344648375,6.534511,10.181697675,8.062827325
5,11.704555,11.3786655,2.06375195,2.4844101975,6.08303705,5.762039275,33.4845975,32.6194,-0.953345375,-0.58137122,-1.32674710875,-2.63821826225,9.50908365,8.7935166,2.20132695,2.513684525,-23.203902,-21.64407025,-3.00739315,-2.3982456375,5.622453215,3.5482648275,8.6160452,10.474366425,11.031575,11.100809,8.2579125,6.51818135,9.75596995,7.688112875
6,11.61682625,11.28235225,2.4837535775,2.895332075,5.848864275,5.5261369,33.440995,32.5670225,-0.4094537125,-0.05902421575,-0.8953778,-2.2402237,11.29823975,10.61730425,2.5034978,2.79046395,-22.710501,-21.1753615,-3.7538033,-3.2228773975,4.725637,2.73265512025,8.0290025225,9.910367075,8.110476,8.1287135,7.70733775,6.0760636325,9.305118375,7.2826843
7,11.51589875,11.165302,2.935407575,3.3382821475,5.5224716,5.206358125,33.4869375,32.5956225,0.18144451675,0.5029949,-0.49985325,-1.8895204775,13.34065125,12.6920925,2.89242145,3.15154425,-21.75837175,-20.24649425,-3.6884472,-3.242269895,3.695158625,1.783055625,7.0765855,8.981523975,5.77861225,5.7408790575,6.77494925,5.262426425,8.9041695,6.928060625
8,11.390158,11.01485,3.408034075,3.803981545,5.1315462125,4.82821585,33.552525,32.6298225,0.829095025,1.11657788,-0.2013704,-1.64333695,15.500035,14.8713775,3.316829905,3.5478073,-20.5124735,-19.0158545,-2.9673040125,-2.597975915,2.62893081,0.7776026275,5.9130500875,7.835599475,4.043328725,3.9570686,5.65306225,4.243411325,8.6039252,6.68020236675
9,11.23759675,10.83072475,3.8923589,4.2832084,4.710820525,4.42399845,33.53092,32.5608925,1.53689589,1.789033975,-0.0402374175000001,-1.530226875,17.558116,16.93017075,3.70251375,3.90989096,-19.23821,-17.75923375,-1.846609785,-1.5371646225,1.6081626975,-0.2042043775,4.7981426,6.7407913125,2.82193102,2.703764725,4.5277619,3.199150675,8.405348425,6.5365516275
10,11.066529,10.6245305,4.3775647,4.76378905,4.2959604525,4.028219825,33.31861,32.28984,2.29075355,2.509559355,-0.0243888,-1.5449258,19.30617525,18.6603555,3.989776,4.1838348925,-18.1940385,-16.7513895,-0.557490225,-0.28423492275,0.700145575,-1.085458075,3.983081025,5.96273982,1.998051825,1.86823003,3.52718683,2.262180683,8.28028955,6.45941885
11,10.8916655,10.415249575,4.8488478,5.2302026,3.9183374125,3.67155615,32.8499225,31.76159,3.059215475,3.2494221925,-0.131127675,-1.655295825,20.60822775,19.93237,4.1537354,4.3477933,-17.5409305,-16.160921,0.74166453,1.00214155,-0.03979642,-1.80081603,3.610913525,5.64698125625,1.458642675,1.3338646775,2.7161668,1.500909425,8.1994073,6.413668525
12,10.72876025,10.222418675,5.28711815,5.6636718,3.601336285,3.3773673225,32.111285,30.9752625,3.8020212,3.969374225,-0.3188661425,-1.8190653,21.4210165,20.71339175,4.2016901425,4.406964825,-17.29584925,-15.99818025,1.96054877,2.2234509,-0.581109765,-2.31413275,3.672670475,5.77177985,1.11027584,0.99878711,2.10641015,0.9283861225,8.143683175,6.38102895
13,10.590516,10.061445175,5.6703975,6.04367055,3.3586718925,3.15986572,31.1360675,29.974035,4.4800028,4.630276,-0.54291995,-1.99954665,21.781925,21.0515645,4.157380025,4.379288625,-17.352644,-16.142461,3.05850969,3.3287168,-0.925981525,-2.628473307,4.036785275,6.1896745,0.88315206175,0.78492309,1.6754672975,0.522065599125,8.103768575,6.35456295
14,10.48496125,9.941077,5.9761801,6.34884575,3.1948875235,3.024749425,29.9871075,28.8227675,5.061282075,5.198697095,-0.769595875,-2.177703145,21.77814625,21.04034825,4.045496225,4.2835522,-17.552869,-16.418247,4.02768675,4.302565875,-1.104451425,-2.77903763,4.527839325,6.714245,0.7291167838,0.639081715,1.385464972,0.2444397975,8.0755673,6.332222175
15,10.41577225,9.8644964,6.184625275,6.5603865,3.107239625,2.97044267,28.735335,27.5871525,5.522924475,5.650044425,-0.9846774,-2.35577418,21.51155975,20.78057575,3.884173025,4.1347149,-17.7543435,-16.668388,4.87836315,5.15144525,-1.1601352,-2.8145316,5.000027475,7.19458425,0.61691357275,0.52845266325,1.19704146725,0.05837045775,8.057096825,6.314537675
16,10.383803925,9.83437705,6.2822554225,6.66946275,3.087555175,2.9864359175,27.44265,26.3237325,5.851271125,5.9756571,-1.193702075,-2.546747895,21.072271,20.35537375,3.685286375,3.9452197125,-17.86400975,-16.797885,5.6271325,5.89106125,-1.134958525,-2.779864575,5.37025248,7.55030375,0.5271307,0.4345799775,1.07838377,-0.0650259249999999,8.04748495,6.3032438
17,10.38831075,9.846521575,6.265169575,6.668564,3.1233377625,3.0601870375,26.152725,25.06395,6.043421825,6.1692318,-1.41411052,-2.77034335,20.5254515,19.82080875,3.458147285,3.72668075,-17.8385005,-16.77004675,6.289528,6.53820275,-1.0609905325,-2.7079647,5.614068875,7.7676866,0.4480108475,0.34780301,1.008152445,-0.14520605725,8.0462653,6.299706125
