GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,6.14582202747575,6.24516464715693,2.18711280507446,1.84392264527497,3.26703086084014,3.48869784183031,7.41888341484371,7.70027301628602,3.83121783900163,3.12570656370078,5.77364986227247,6.01044616116976,4.580488128638,5.01354042925097,3.35875544479229,3.03859790954488,9.02044407236629,8.92928365237634,2.86235604798743,2.9464746873723,4.36233187014984,4.21145319082351,6.1694808818032,5.56591562576202,3.66739782658624,4.06637987039842,3.79320302220086,4.01973286740318,5.3994848067882,5.01864350669657
1,6.13726776697672,6.23596954169148,2.21037192737818,1.87036782507675,3.28174764763409,3.49760581014105,7.35015929105006,7.65040156976131,3.73655103084525,3.04433980780965,5.73875705978602,5.99433731752076,4.28728073993797,4.7345647396042,3.31995708728617,3.02149875838925,8.94414109071522,8.91966125273391,2.84104749526848,2.87910254403442,4.3038922314976,4.20664528321652,6.19060893628117,5.65163500230489,3.48388431460313,3.90036604743864,3.69726327385209,3.95462872260673,5.21764838100873,5.05233453636896
2,6.13139957211597,6.22210894006498,2.23879641308873,1.90367733330508,3.27295313668577,3.48638614962047,7.27670660034529,7.59139720132742,3.62406972197956,2.95530093101196,5.69054186616461,5.98466057796297,4.07404820367295,4.53556930700429,3.272462681983,3.01356378560336,8.83641121196565,8.95358499796724,2.87508216477506,2.82019275925912,4.21360758233834,4.18690087215121,6.16253256307032,5.66682561352075,3.30094319764335,3.70132919629257,3.57010505838754,3.86266986715664,5.07704387905508,5.09271191677984
3,6.13329687767216,6.20644657539973,2.27101576905462,1.94289088794678,3.24511826781518,3.46042891921583,7.2131778485783,7.53642494590938,3.50935404147271,2.87367730334194,5.61712332120214,5.96021047491621,3.97317105050038,4.4538238848068,3.23184742997515,3.01534671671476,8.71988630513147,9.04893331510272,2.99426851016552,2.81584560665942,4.10906286153282,4.19030261346318,6.12394963485181,5.64236484061436,3.12383398412905,3.44905831054387,3.4479804172895,3.81452011306661,4.97788882053478,5.11999755731551
4,6.14874973638583,6.19417359501537,2.30347987591768,1.98589952876243,3.20366658324219,3.4260196793187,7.18029981808005,7.50472537225768,3.40604754008919,2.81307043296667,5.514344407653,5.91428171762784,4.00277135222783,4.50577691230107,3.20163208576633,3.01957165008879,8.64234523801159,9.20951829993691,3.18656032628659,2.90192405202337,4.01290411500039,4.21817992409825,6.13226967437252,5.62276025195129,2.93843083879918,3.13639029659466,3.36915769436411,3.85050681290661,4.930644580992,5.12007929116672
5,6.18106374608516,6.19136530694049,2.33337734621206,2.03169503808102,3.15318414917177,3.38808646665554,7.19464813428678,7.51202883381512,3.32271068137462,2.78263752574003,5.3980237349781,5.86374187887933,4.1495563557453,4.66911196300948,3.17718051839785,3.0256324643566,8.63452550697263,9.39073819463389,3.39293813723801,3.04864878840843,3.94190195181937,4.16138097498296,6.19264054392832,5.6205311224923,2.73713188638788,2.78080091296802,3.3416236406619,3.85478262998929,4.92488242543775,5.08176955847699
6,6.22772927622998,6.20152275097977,2.36274718727648,2.08130134132548,3.09681675754845,3.3486469841765,7.25624896864484,7.56224763424227,3.26401205604011,2.78492966520883,5.30073869848967,5.84106462651454,4.35199448827212,4.88325534228778,3.15835375308854,3.04473997641814,8.66724626841211,9.49225009264836,3.52375118995719,3.1697468347251,3.90605383541701,3.94327867903702,6.23868153011692,5.60883701966344,2.52545829307156,2.41572336595485,3.33652722799816,3.6930747176269,4.92644024630569,5.01670138375761
7,6.28169638975758,6.22335093593043,2.39791055435198,2.13689625513907,3.0366261958416,3.30645852772725,7.34806146821117,7.64854592066471,3.23254150622081,2.8160280317042,5.25452813019755,5.86958347167429,4.52431539478813,5.08535082092217,3.15420906946108,3.08980883084734,8.6705288228515,9.42021587169222,3.52816098259293,3.21205699898391,3.90984067017682,3.63232885342649,6.19691725097817,5.56277392879974,2.29902788968651,2.0614833490694,3.3457270796716,3.39003994982045,4.91213959858128,4.94733230454358
8,6.33551718218115,6.25192179731398,2.44474549530137,2.20132307418089,2.97444231064901,3.25845927147167,7.44970917985991,7.7590367956465,3.22946465740003,2.86965569516417,5.27148024297569,5.94373786622373,4.60627116967089,5.24077068208728,3.17684384833671,3.16414614622255,8.60989470776244,9.16571206820508,3.42797657336567,3.18749392373019,3.92536329233013,3.34146677807102,6.06284928297587,5.51280611884722,2.05938679214488,1.72780905335038,3.348148654778,3.04698781301163,4.88532964522874,4.88167135380798
9,6.38426521587374,6.28195329141937,2.50509301940601,2.27768041120844,2.91253521643975,3.20207033731377,7.54975372201759,7.8813483840142,3.25431816560175,2.9416629176223,5.33903657634244,6.03613225131923,4.59362002633777,5.34521057523408,3.22963409068341,3.25865473252209,8.53228788704808,8.81984808296063,3.27497418211783,3.13434102258729,3.91230731351589,3.13052868402565,5.92618421757002,5.53403916436561,1.82355663850089,1.43475575228206,3.29556560331121,2.72758730965417,4.85705308755603,4.82615217339127
10,6.42593475319873,6.30991474398191,2.57596555841872,2.36694635803469,2.85379461368058,3.13738037884259,7.64454066679734,8.00449440780031,3.30539603410324,3.03089185561666,5.42950757718428,6.11889264635611,4.52946353796314,5.41450609699348,3.30027859997884,3.35935192835923,8.50978470216847,8.50187542028825,3.11591784978721,3.08502733902083,3.84995445508521,3.00176134411063,5.89311796886017,5.64519797690548,1.60813563908463,1.20772291265899,3.16481712414291,2.45674123627142,4.83217105459385,4.79072345777566
11,6.46070482036854,6.33698866618582,2.65067748931248,2.46887167982387,2.80163294300186,3.06819447976071,7.730019185437,8.11934146889579,3.37934812311797,3.13811638097601,5.51175483678222,6.1761986945928,4.46629283890558,5.4721581156188,3.36734410415565,3.45506770431822,8.54038734690658,8.2737791793374,2.98049611979754,3.05415731474551,3.74261979709059,2.93023010474043,5.96218654343832,5.76921964811527,1.42267471006323,1.05488281571552,2.9724711517178,2.24499519798307,4.81320801577713,4.77666126176834
12,6.48931456425178,6.36084296974344,2.72049255643226,2.57160057811352,2.75973510406833,3.001364198789,7.79820170180153,8.21609723578256,3.46918488282515,3.2566665535955,5.55977408078977,6.20449604441219,4.43455936024333,5.53901844479376,3.41220066350595,3.54028685126941,8.54934675762309,8.13782181210168,2.88094391869094,3.04177050641348,3.61440384988192,2.89319890224478,6.03253291169292,5.81411341907727,1.27171802657001,0.962083487852601,2.75684497809207,2.09263722448583,4.80228604094799,4.77540283650588
13,6.51121075322691,6.37657406948359,2.77593603885327,2.65777383749496,2.73102750000956,2.94403548966004,7.84205690507529,8.28754529590682,3.56363703177672,3.37149936196757,5.5595425021218,6.20762051993039,4.44400432598886,5.62840227372198,3.425973252412,3.61276449052744,8.47587501962332,8.08475378179972,2.8188187981402,3.04342411511101,3.49305600872107,2.87853300409618,6.02359729218501,5.74357165972175,1.15501736890132,0.907603989316874,2.55408450936013,1.98878646704812,4.79784522701029,4.77788428884101
14,6.52445771399914,6.38183836816121,2.80820696821283,2.71397598821784,2.7163503285479,2.90081093529826,7.86284056627366,8.33465218846456,3.64897813328261,3.46705462173248,5.51257893228821,6.19311289793151,4.49962516222324,5.74507875624348,3.40998929547601,3.67021239345316,8.32381987431201,8.1104467268462,2.78943822523588,3.05534010420736,3.39479491430854,2.87945780476337,5.93125597431577,5.58366344524541,1.06792530063286,0.874835247613011,2.38304862176261,1.91688990502474,4.79586390905743,4.77942478651337
15,6.52701891681661,6.37952114714657,2.81107549758452,2.73557377801941,2.71401201829326,2.87225068300106,7.87124023776936,8.36727515347121,3.71179024418824,3.53390938775965,5.43621622111843,6.16989095557966,4.60474482907667,5.88472960147384,3.3723404657744,3.70826029912016,8.14992920286269,8.20125644337988,2.78361392641846,3.07363714837501,3.32171188697301,2.88985580082196,5.8008549669132,5.39635497125191,1.00339562601441,0.854317221373877,2.24619399110451,1.86264991617385,4.79348252183179,4.77881728670629
16,6.51843521714713,6.37126034272019,2.78245032380427,2.72028700774869,2.72073246506442,2.85620241099799,7.8805563920001,8.39703031348849,3.74171228524953,3.56396672234086,5.35817683408732,6.14486159897386,4.75214542495884,6.03530105364109,3.32314282761006,3.72342670839734,8.0205391287485,8.32456240160091,2.79024527553431,3.09343464231479,3.26748766009815,2.9041229534077,5.68175173909025,5.24054934991811,0.954448482578154,0.841272941874104,2.13842151687367,1.81796216959044,4.78996369733305,4.77661993598245
17,6.50019783472883,6.35924025364632,2.72448046741319,2.67100238252722,2.73308971640172,2.84882767153443,7.89757870986428,8.43131454118776,3.73348266473004,3.55270446023927,5.30470881108377,6.11949568329213,4.92041333773135,6.18186166911745,3.27131124214815,3.71608729144031,7.96884309977715,8.43903941090491,2.79947551512289,3.10991689286775,3.22415044432429,2.91836828605017,5.59967094180257,5.14704510963043,0.91578491361369,0.833414806421801,2.0535818406217,1.77977517019051,4.78550684027458,4.77402375184523
18,6.47500413433176,6.3449470507223,2.64227071742207,2.59457838482715,2.7484736415085,2.84614142619768,7.91850304842101,8.46946165034142,3.68736670984766,3.49915099601384,5.28863452232926,6.09089602976707,5.08154880978001,6.31199081532242,3.22362975472709,3.69210199900725,7.98241793565845,8.51046479441755,2.80445409199313,3.11991176876238,3.18654484616674,2.93051890674041,5.55604803547762,5.11651528214906,0.884065273403591,0.829771460095197,1.98695877203778,1.74744563629569,4.78038318947439,4.77187744258286
19,6.44539023418443,6.32867799477692,2.54223050986492,2.50104499899654,2.7652393142548,2.84528912169762,7.93198171749565,8.50402291242705,3.60751064228764,3.40701111023608,5.30594810736341,6.0537701689871,5.20915216639352,6.41798134518294,3.1849568473005,3.66075931657111,8.02173860126501,8.52284153901802,2.80172314147225,3.12259806264886,3.15385331143589,2.9395925392831,5.53960987904532,5.1293361678941,0.85746913463883,0.830031998873084,1.93546282119205,1.72095258223128,4.77520193822374,4.77059251371351
20,6.41288962966536,6.30996450715993,2.43131658262015,2.4020616136494,2.78205408256242,2.84482251879964,7.92857285241709,8.52559040478434,3.5027068043461,3.28527594909597,5.3400445325833,6.00171871913736,5.3004666439528,6.49638611351835,3.15820364362726,3.63081232253147,8.05584029459096,8.48079044543155,2.79076606834545,3.11894553417924,3.1280915232007,2.94506677966034,5.5348507797463,5.15902053449699,0.835044339744248,0.83417994676537,1.89686882657678,1.70003113690716,4.77041481459114,4.77019138830154
21,6.3782000754445,6.28871018454354,2.31665466444289,2.30881748384736,2.79689599056703,2.84373411681283,7.90023568360707,8.52824450653974,3.38184513881439,3.14674776425787,5.37652653094316,5.9303880580953,5.34281019489032,6.54716646920737,3.1455991088965,3.60718631841891,8.06396310728204,8.40277883660148,2.7732846347641,3.11044101644315,3.11100219906231,2.94639382630385,5.5274578204506,5.18118694356198,0.816345192154033,0.842462876685452,1.86911558755231,1.6838494901495,4.76640199060175,4.7706000969034
22,6.34237441357239,6.2658366457813,2.20448383876425,2.22964075939405,2.80689263474528,2.84013598430462,7.85397466500749,8.51188774254745,3.25531141155818,3.00507024555522,5.40431256764354,5.84080109398875,5.34967641267834,6.57275313824486,3.14779297134321,3.59009028742898,8.05715572163258,8.30941198820918,2.7521564992032,3.09790263799033,3.10164594681449,2.94306316654844,5.50806949168517,5.17729703119549,0.801415556096867,0.855561634945908,1.84984275565205,1.67133901259644,4.76348944774325,4.77198843704075
23,6.30561826135535,6.24296231125048,2.09910411661757,2.1685394592709,2.80903501999947,2.83098248930007,7.79738436290859,8.48094376893611,3.13167492651903,2.8716811262943,5.42124090322412,5.73917811572151,5.33244066027648,6.577581506913,3.16252886376777,3.57648859406735,8.04474571356309,8.21647941749175,2.73046032572571,3.08133219713285,3.09585096140546,2.93506554873788,5.47389346968707,5.13957685190232,0.790880298910443,0.874686004505242,1.83623458421561,1.66179536290003,4.76236909737987,4.77484211545272
24,6.27296544110507,6.22175604969568,2.00071321111139,2.12501547249785,2.80112178604555,2.81287361982986,7.73282399590981,8.44160653328131,3.01196434030485,2.75416018769366,5.41945707825354,5.63494679425059,5.31147737107859,6.56760963610688,3.18072931595953,3.56255985442023,8.02896545373702,8.13690768269274,2.71050635939904,3.06076420495163,3.08882696462075,2.92304763278681,5.42900744326072,5.07520945812688,0.78602964523388,0.901275143951857,1.82596507633103,1.6548583704859,4.76374618869349,4.77986449566468
25,6.24244395132246,6.20325841454226,1.90858073422167,2.09562705623009,2.78179194360468,2.78353390009024,7.66991430668763,8.3995335609187,2.90609751440436,2.65618066428916,5.40430212045189,5.53810229700713,5.30003082172597,6.54956812462273,3.20098538229882,3.54554582031629,8.03078898651501,8.08529841116157,2.69372636623483,3.03702572913323,3.0777487197487,2.90796207066845,5.38438625969062,5.00275579186323,0.788650046034604,0.936585423006653,1.81807983854336,1.65050635506992,4.76828380172206,4.78816247409514
26,6.21698888631953,6.18752863098803,1.8203376370029,2.07638987489829,2.75315670825379,2.74281271972153,7.61626788437123,8.35905516943853,2.81164581451346,2.57818678811569,5.38969795878049,5.45691164023865,5.28680973519589,6.53003401994848,3.22452428143452,3.52439749462435,8.04843137913768,8.07524572249276,2.68086410126184,3.01183894133092,3.06216707273907,2.89095275997679,5.35345204514436,4.94160012603415,0.800374899145038,0.981532850860309,1.81315120809558,1.6490321262104,4.77624378666745,4.80120501817069
27,6.19383832808769,6.17356123778416,1.73572423398429,2.06454272049153,2.71681398807873,2.69267725486392,7.57145156954448,8.32326132066767,2.7373457267879,2.51868795746832,5.37818905098704,5.39589145065147,5.28288748764674,6.51345732810527,3.24981366809405,3.49963674613871,8.09079391551279,8.11132446214349,2.67249250447014,2.9871623840017,3.04317970770827,2.87338346946429,5.34403300782213,4.9031417112856,0.822165438905001,1.03645665177279,1.81297547504553,1.65095571006255,4.78778782864103,4.8198565201638
28,6.1719113642483,6.16051195912653,1.6557644454897,2.05920012439994,2.67605963890396,2.6364443893844,7.53877626441518,8.29429168659573,2.68637955570775,2.47534154058502,5.37733283641667,5.35550603723445,5.28294047141366,6.50008250489825,3.27653949842291,3.47277429039638,8.15725243722002,8.18650535267011,2.66893852468875,2.96388314698108,3.02275842932516,2.85709953835314,5.35283321956239,4.89061347783586,0.854169188577594,1.1009390691965,1.82001231355909,1.65676580030653,4.80222242928847,4.84345811812155
29,6.1506990078352,6.14515287157211,1.58298109825386,2.05988021226786,2.63446911579952,2.57780699952492,7.51803545905268,8.27200259054253,2.64815299669241,2.44500445810161,5.39125652562278,5.33384106986323,5.28436126982544,6.48586951151333,3.30196187550839,3.44553696900648,8.22880454513336,8.2849853147288,2.67023745118506,2.94122524531824,3.00271778991211,2.84412281555036,5.36627024197861,4.90423349493874,0.895828068854729,1.17409263842027,1.83606105035309,1.66617684254062,4.81862987401894,4.87047617211306
30,6.13065093611281,6.12653258799821,1.52082088020739,2.06599170389046,2.59524255756467,2.52037569245918,7.51049332384557,8.25579992648082,2.62538704606437,2.42384288684404,5.417623837756,5.32649673859134,5.28041743582717,6.46464340219243,3.32502366978174,3.41903155350765,8.29337675658111,8.38609854564663,2.67616570511532,2.91757862388911,2.98364153083445,2.83548237705014,5.36743105638083,4.94098069718455,0.946111336731444,1.25413259415886,1.86011245145616,1.67814464711324,4.83610621858971,4.89953501247054
31,6.11311718471663,6.10544538218521,1.47257955597695,2.07600974757675,2.56075253857388,2.46718336999281,7.51513626120658,8.24529975821762,2.61534845793162,2.40782899361781,5.45044336407345,5.32668414905418,5.2668408069923,6.43144168508313,3.34332855514878,3.39378587876454,8.3364681557883,8.46910598996393,2.68626200659288,2.89188731085596,2.96517368700918,2.83063864533881,5.34638967668287,4.99108544625913,1.00392425618604,1.33659014743138,1.88811154861048,1.69176412942573,4.85393621103191,4.93010072895857
