GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,11.0821594761905,10.8622522857143,0.32217445,0.818035526190476,1.04598285714286,0.79769880952381,29.2859738095238,28.4350071428571,-0.450941976190476,-0.0548450190476191,-2.71128380952381,-4.06331658095238,3.41985292857143,2.63663149428571,1.08932076190476,1.51947078571429,-19.4531873809524,-17.6089904666667,0.54365819047619,0.975672178571429,6.99467804761905,4.14310571428571,9.76562333333333,11.1098923809524,18.1399619047619,17.6701569047619,7.03404907142857,4.54814962380952,11.6145926190476,9.62491142857143
1,11.0363112380952,10.7934713333333,0.391985795928571,0.895131183333333,1.2981997452381,1.05220150714286,29.0102428571429,28.1450952380952,-0.282728333333333,0.11596930952381,-2.67067916190476,-4.05590930238095,4.24721513571429,3.50626104761905,1.08272364285714,1.48970703095238,-19.5129138095238,-17.5878808333333,0.188467642857143,0.604437745238095,6.62377233333333,3.9101515,9.64630285714285,11.041342952381,16.5577580952381,16.0964557142857,7.04910483333333,4.67667692857143,11.4752364285714,9.40071723809524
2,10.9863522142857,10.7237718809524,0.509192857142857,1.01875815952381,1.53156377857143,1.28748538095238,28.645,27.7568761904762,-0.0565171761904761,0.343566023809524,-2.58021632071428,-4.00526033333333,5.01277020238095,4.28282242619048,1.05248994761905,1.44857414285714,-19.6248295238095,-17.6787849285714,-0.792768664285714,-0.419168595238095,5.97985876190476,3.47046280952381,9.49541023809524,10.9718839761905,14.2455771428571,13.8275147619048,6.98794190952381,4.79880223809524,11.3308688095238,9.2121390952381
3,10.9332161666667,10.656191047619,0.688836716666667,1.20766208809524,1.72501752380952,1.48255183333333,28.1892285714286,27.2795261904762,0.217474035714286,0.623895316666667,-2.40448364285714,-3.88169554761905,5.53301121428571,4.81115473809524,1.02329746190476,1.42399435714286,-19.8115204761905,-17.8738500238095,-2.28431344809524,-1.954987,5.19141580952381,2.85302123333333,9.28083738095238,10.8488001428571,11.5649957142857,11.1763645238095,6.90075778571429,4.87637614285714,11.2185892857143,9.07671442857143
4,10.8771087380952,10.5891855476191,0.936233576190477,1.46871330952381,1.85522057142857,1.61348164761905,27.7006928571428,26.7780095238095,0.525498269047619,0.946182214285714,-2.1496342202381,-3.69311273809524,5.94946416666667,5.25088324142857,1.05308107809524,1.4642660952381,-19.9192985714286,-17.9774655714286,-3.72630869047619,-3.4198040047619,4.33647223333333,2.08686133333333,8.92331919047619,10.564547302381,8.98988095238095,8.60032428571428,6.69293245238095,4.76518257142857,11.103700952381,8.94414421428572
5,10.8159141428571,10.5177298857143,1.2414126547619,1.79271363809524,1.90640184761905,1.66343631904762,27.2693714285714,26.3395976190476,0.861147045238095,1.30607823809524,-1.87879538095238,-3.49670685714286,6.55979530952381,5.89410359523809,1.19296396190476,1.6049845,-19.7144347619048,-17.7447687857143,-4.60139170238095,-4.28904888095238,3.40348511904762,1.19508019047619,8.35110864285714,10.0323045238095,6.78725214285715,6.39809809523809,6.22555038095238,4.35114785714286,10.9286342857143,8.7650079047619
6,10.7486121428571,10.4373846642857,1.58413423809524,2.15770723809524,1.87730332233333,1.62970061904762,26.9491547619047,26.0034235714286,1.23003419047619,1.70845228571429,-1.67513883333333,-3.36461901904762,7.49993783333333,6.85080061904762,1.43235418333333,1.82566625476191,-19.1110616666667,-17.1065237142857,-4.74864221428571,-4.42634166666667,2.42608151428571,0.260252390476191,7.58888731190476,9.28317380952381,5.04844571428571,4.67969452380952,5.50450785714286,3.68856197619048,10.6959202380952,8.55316892857143
7,10.6757052380952,10.3463868809524,1.93902190042857,2.53281033333333,1.78240564285714,1.52667041904762,26.7091078571429,25.7228852380952,1.63783766666667,2.15168638095238,-1.58457535714286,-3.32862608571428,8.66285666666667,7.98977052380952,1.70705465476191,2.06607096190476,-18.2483333333333,-16.2301380238095,-4.30182211190476,-3.99299904761905,1.50641557142857,-0.602721357142857,6.77263216666667,8.47595619047619,3.782013,3.44227747619048,4.68285619047619,2.94596072380952,10.4564764285714,8.35640857142857
8,10.5998642857143,10.2425103809524,2.28301133333333,2.88896092857143,1.64887110261905,1.38361088095238,26.4533021428571,25.391805,2.08003328571429,2.6219789047619,-1.59462412047619,-3.37001807619048,9.82481273809524,9.07986633333333,1.94898698202381,2.27125745238095,-17.3751385714286,-15.3825516428571,-3.50833071190476,-3.23701092857143,0.725991452380953,-1.32334122190476,6.07290119047619,7.80597542857143,2.91721378571429,2.60697795238095,3.91978164285714,2.26830116666667,10.2514230952381,8.20182904761905
