GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,12.86515,12.6070039166667,0.8837233,1.40677342222222,6.48933702777778,6.52473152777778,35.474525,34.5362972222222,-3.35404330555556,-3.040306,-2.26577029694444,-3.79241172222222,3.35235163888889,2.23312605555556,1.58828590277778,1.99418960388889,-22.9214736111111,-22.1480513888889,3.57574930555556,4.05460316666667,7.06515530555556,5.12312213888889,8.705871,10.7397908333333,25.2619111111111,25.5032138888889,6.45715036111111,4.90239002222222,10.9164891666667,9.30552777777778
1,12.7557138888889,12.4697993333333,1.06728347222222,1.60811053888889,6.77987275,6.77593827777778,35.2832861111111,34.3290972222222,-3.22509535833333,-2.88822288888889,-2.11069509444444,-3.67267663888889,4.17012694444445,3.10275038888889,1.73683993333333,2.12241715861111,-23.154995,-22.2620536111111,3.13583318888889,3.58626894444444,7.18090525,5.22472883333333,8.72213261111111,10.7408663888889,23.9082527777778,24.08335,6.93376005555556,5.37375463888889,10.6530433333333,8.99340972222222
2,12.6396262222222,12.3343467222222,1.28581683333333,1.84041371388889,6.98964716666667,6.94835611111111,35.0559027777778,34.0941805555556,-2.99087215083333,-2.64541336111111,-1.9092685,-3.51307206111111,5.26949027777778,4.24204645555556,1.90204703333333,2.2701775,-23.4607141666667,-22.4272694444444,2.14453613888889,2.57440738888889,7.13635416666667,5.18859033333333,8.79591338888889,10.80288,21.655575,21.7885472222222,7.42443972222222,5.88654186111111,10.3891145555556,8.66470561111111
3,12.5281774444444,12.212405,1.54796099722222,2.11163656111111,7.10451286111111,7.02913527777778,34.8067277777778,33.8481916666667,-2.655462,-2.31501863888889,-1.6448853,-3.28966180555556,6.53105138888889,5.54352977777778,2.07605988888889,2.4315483125,-23.8040816666667,-22.6322988888889,0.591889144444444,1.03213347777778,6.888568,4.96992419444445,8.880362,10.8811409444444,18.6022805555556,18.7280938888889,7.86975916666666,6.37106186111111,10.1109769722222,8.32311473888889
4,12.430005,12.110185,1.86012932222222,2.42944863888889,7.10935708333334,7.00506472222222,34.5765722222222,33.6288527777778,-2.23126901388889,-1.90516441666667,-1.30538755555556,-2.98809486388889,7.91499583333333,6.97395777777778,2.26709727222222,2.61311672916667,-24.07715,-22.7810397222222,-1.22926683333333,-0.75555325,6.40697672222222,4.54526261111111,8.88084747222222,10.876188,15.0804127777778,15.2274211111111,8.13378,6.69690761111111,9.79534005555556,7.96287144444444
5,12.3432953888889,12.022405,2.22477711111111,2.79707772222222,6.99382986111111,6.86800361111111,34.4172027777778,33.480075,-1.73381816666667,-1.42909425,-0.905958188888889,-2.620234,9.47785527777778,8.58485147222222,2.50417296111111,2.84076830555556,-24.0912611111111,-22.685675,-2.799682325,-2.30384863888889,5.68489022222222,3.91571402777778,8.664853,10.641518,11.5672083333333,11.73749,8.04179666666666,6.70474138888889,9.42775594444444,7.575891625
6,12.2543938611111,11.9313852777778,2.63978063888889,3.21209280555556,6.75790916666667,6.62001444444445,34.3636611111111,33.4268777777778,-1.17238561111111,-0.897645158055556,-0.491713,-2.22838188888889,11.30652925,10.4508758055556,2.82044723055556,3.14495410277778,-23.6721161111111,-22.1678405555556,-3.68211525,-3.19534552777778,4.75560989722222,3.10333980555555,8.11640388888889,10.0456572777778,8.45565361111111,8.63112527777778,7.50075863888889,6.2985548,9.03462638055556,7.18551898388889
7,12.1522322777778,11.8159122222222,3.09178226388889,3.66969672222222,6.41453491666667,6.27440316666667,34.4153138888889,33.4503972222222,-0.552196233333333,-0.308950138888889,-0.105351111111111,-1.87165280555556,13.4105836944444,12.5635908333333,3.22094988888889,3.52831497222222,-22.7917133333333,-21.1995594444444,-3.73751941666667,-3.28446951111111,3.70198572222222,2.16693119444444,7.21978431666667,9.08190202777778,5.93998361111111,6.10544086111111,6.58043027777778,5.52678959444445,8.67410279444444,6.84634241666667
8,12.0171346944444,11.6614388888889,3.58074775,4.16291451666667,5.98784230555556,5.85465741666667,34.5006777777778,33.4785833333333,0.144961541666667,0.347794083333334,0.183938222222222,-1.60362183333333,15.6664661111111,14.7873516666667,3.65710911944444,3.95220064444444,-21.5752191666667,-19.9363333333333,-3.09109560555555,-2.68286941666667,2.62279427777778,1.18129797777778,6.100452,7.90993191666667,4.04973988888889,4.20199569444444,5.45934138888889,4.54260079444444,8.39327455555555,6.59906916666667
